Experiment, Condition, DyadID, ParticipantID,Phase,Meaning,InputSentence,RT,MeaningSelection,OutputSentence,CorrectedOutput,Grammatical,GrammaticalityJudgment,Timestamp
ISO, Morphology, NA, MI01,allTraining,"('jelpa', 'plain', 'two')",jelpa nefri,NA,NA,NA,NA,NA,NA,Wed Jun 29 10:07:25 2016
ISO, Morphology, NA, MI01,allTraining,"('mokte', 'plain', 'two')",mokte nefri,NA,NA,NA,NA,NA,NA,Wed Jun 29 10:07:29 2016
ISO, Morphology, NA, MI01,allTraining,"('mokte', 'blue', 'one')",mokte kogla,NA,NA,NA,NA,NA,NA,Wed Jun 29 10:07:33 2016
ISO, Morphology, NA, MI01,allTraining,"('mokte', 'blue', 'two')",mokte kogla nefri,0,correct,NA,NA,NA,NA,Wed Jun 29 10:07:41 2016
ISO, Morphology, NA, MI01,allTraining,"('mokte', 'blue', 'two')",mokte kogla nefri,2.31,correct,NA,NA,NA,NA,Wed Jun 29 10:07:47 2016
ISO, Morphology, NA, MI01,allTraining,"('jelpa', 'blue', 'two')",jelpa kospu nezno,1.16,correct,NA,NA,NA,NA,Wed Jun 29 10:07:53 2016
ISO, Morphology, NA, MI01,allTraining,"('mokte', 'blue', 'two')",mokte kogla nezno,1.16,correct,NA,NA,NA,NA,Wed Jun 29 10:07:58 2016
ISO, Morphology, NA, MI01,allTraining,"('jelpa', 'blue', 'two')",jelpa kospu nefri,3.46,correct,NA,NA,NA,NA,Wed Jun 29 10:08:06 2016
ISO, Morphology, NA, MI01,allTraining,"('jelpa', 'blue', 'one')",jelpa kospu,2.31,"('jelpa', 'blue', 'two')",NA,NA,NA,NA,Wed Jun 29 10:08:12 2016
ISO, Morphology, NA, MI01,allTraining,"('mokte', 'blue', 'two')",mokte kogla nefri,1.16,correct,NA,NA,NA,NA,Wed Jun 29 10:08:18 2016
ISO, Morphology, NA, MI01,allTraining,"('jelpa', 'blue', 'two')",jelpa kogla nefri,1.15,correct,NA,NA,NA,NA,Wed Jun 29 10:08:24 2016
ISO, Morphology, NA, MI01,allTraining,"('mokte', 'blue', 'two')",mokte kogla nezno,2.31,correct,NA,NA,NA,NA,Wed Jun 29 10:08:30 2016
